"zcta","ZIPName","LandSQMI","afact"
"ZIP census tabulation area","ZIP Code name","Land area (square miles)","zcta-to-zcta allocation factor"
"56207","Alberta, MN",48.5918,1 
"56208","Appleton, MN",196.2474,1 
"56209","Atwater, MN",101.0675,1 
"56210","Barry, MN",0.1799,1 
"56211","Beardsley, MN",101.7512,1 
"56212","Bellingham, MN",80.2387,1 
"56214","Belview, MN",63.3464,1 
"56215","Benson, MN",211.2015,1 
"56216","Blomkest, MN",37.8676,1 
"56218","Boyd, MN",97.8855,1 
"56219","Browns Valley, MN",39.9745,1 
"56220","Canby, MN",274.1159,1 
"56221","Chokio, MN",140.189,1 
"56222","Clara City, MN",94.1757,1 
"56223","Clarkfield, MN",116.7508,1 
"56224","Clements, MN",35.7071,1 
"56225","Clinton, MN",104.1663,1 
"56226","Clontarf, MN",35.7674,1 
"56227","Correll, MN",55.7505,1 
"56228","Cosmos, MN",57.2411,1 
"56229","Cottonwood, MN",102.2804,1 
"56230","Danube, MN",62.6815,1 
"56231","Danvers, MN",91.5487,1 
"56232","Dawson, MN",141.8334,1 
"56235","Donnelly, MN",82.0317,1 
"56236","Dumont, MN",106.1135,1 
"56237","Echo, MN",63.3074,1 
"56239","Ghent, MN",26.119,1 
"56240","Graceville, MN",148.8476,1 
"56241","Granite Falls, MN",145.8827,1 
"56243","Grove City, MN",92.7278,1 
"56244","Hancock, MN",130.7233,1 
"56245","Hanley Falls, MN",46.0684,1 
"56248","Herman, MN",137.4646,1 
"56249","Holloway, MN",66.3727,1 
"56251","Kandiyohi, MN (PO Boxes)",33.6293,1 
"56252","Kerkhoven, MN",74.7404,1 
"56253","Lake Lillian, MN",106.161,1 
"56255","Lucan, MN",38.0802,1 
"56256","Madison, MN",230.6285,1 
"56257","Marietta, MN",87.4877,1 
"56258","Marshall, MN",193.8168,1 
"56260","Maynard, MN",98.0201,1 
"56262","Milan, MN",69.1178,1 
"56263","Milroy, MN",51.1154,1 
"56264","Minneota, MN",128.8622,1 
"56265","Montevideo, MN",264.0021,1 
"56266","Morgan, MN",99.5374,1 
"56267","Morris, MN",194.321,1 
"56270","Morton, MN",48.2323,1 
"56271","Murdock, MN",151.7268,1 
"56273","New London, MN",96.6864,1 
"56274","Norcross, MN",79.8694,1 
"56276","Odessa, MN",55.5904,1 
"56277","Olivia, MN",111.1384,1 
"56278","Ortonville, MN",135.3697,1 
"56279","Pennock, MN",61.7792,1 
"56280","Porter, MN",68.5578,1 
"56281","Prinsburg, MN",12.9192,1 
"56282","Raymond, MN",107.2574,1 
"56283","Redwood Falls, MN",178.3716,1 
"56284","Renville, MN",135.0272,1 
"56285","Sacred Heart, MN",99.7682,1 
"56287","Seaforth, MN",0.4436,1 
"56288","Spicer, MN",48.793,1 
"56289","Sunburg, MN",51.3282,1 
"56291","Taunton, MN",66.0426,1 
"56292","Vesta, MN",57.1394,1 
"56293","Wabasso, MN",84.6456,1 
"56294","Wanda, MN",0.2591,1 
"56295","Watson, MN",22.6248,1 
"56296","Wheaton, MN",236.9667,1 
"56297","Wood Lake, MN",67.885,1 
"56301","St. Cloud, MN",76.5801,1 
"56303","St. Cloud, MN",10.9606,1 
"56304","St. Cloud, MN",60.6662,1 
"56307","Albany, MN",105.7193,1 
"56308","Alexandria, MN",155.8532,1 
"56309","Ashby, MN",57.2219,1 
"56310","Avon, MN",71.6072,1 
"56311","Barrett, MN",72.4054,1 
"56312","Belgrade, MN",171.3187,1 
"56313","Bock, MN",0.1444,1 
"56314","Bowlus, MN",42.4605,1 
"56315","Brandon, MN",68.8814,1 
"56316","Brooten, MN",134.8523,1 
"56318","Burtrum, MN",40.0753,1 
"56319","Carlos, MN",40.3614,1 
"56320","Cold Spring, MN",51.0692,1 
"56321","Collegeville, MN (PO Boxes)",0.6337,1 
"56323","Cyrus, MN",42.8692,1 
"56324","Dalton, MN",58.0544,1 
"56325","Elrosa, MN",0.1595,1 
"56326","Evansville, MN",94.6621,1 
"56327","Farwell, MN",48.1401,1 
"56328","Flensburg, MN",2.0724,1 
"56329","Foley, MN",191.9138,1 
"56330","Foreston, MN",39.4746,1 
"56331","Freeport, MN",69.3538,1 
"56332","Garfield, MN",52.1924,1 
"56334","Glenwood, MN",205.0375,1 
"56335","Greenwald, MN",0.7127,1 
"56336","Grey Eagle, MN",48.7438,1 
"56338","Hillman, MN",171.2208,1 
"56339","Hoffman, MN",60.9305,1 
"56340","Holdingford, MN",50.9411,1 
"56342","Isle, MN",192.9639,1 
"56343","Kensington, MN",69.5077,1 
"56345","Little Falls, MN",258.1142,1 
"56347","Long Prairie, MN",194.8045,1 
"56349","Lowry, MN",41.613,1 
"56350","Mc Grath, MN",226.9935,1 
"56352","Melrose, MN",109.8502,1 
"56353","Milaca, MN",189.7765,1 
"56354","Miltona, MN",42.2131,1 
"56355","Nelson, MN",25.6185,1 
"56356","New Munich, MN",1.652,1 
